text,disease,section
"ce further symptoms, such as dizziness, fainting, cramps and exhaustion. you may also develop small areas of darkened skin, or darkened lips or gums. although these symptoms aren’t always caused by addison’s disease, you should see your gp, so they can be investigated. read more about the symptoms of addison’s disease and diagnosing addison’s disease the condition is usually the result of a problem with the immune system, which causes it to attack the outer layer of the adrenal gland (the adrenal cortex), disrupting the production of steroid hormones aldosterone and cortisol. it’s not clear why this happens, but it’s responsible for 70% to 90% of cases in the uk. other potential causes include conditions that can damage the adrenal glands, such as tuberculosis (tb), although this is uncommon in the uk. read more about the causes of addison’s disease addison’s disease is treated with medication to replace the missing hormones.",Addison’s disease,
"ou can work through at your own pace. to get the most out of space from stress, it’s recommended you spend around an hour per week on your programme. to access this course, you need to provide your email address, create a password, and type in the following access code: nhs24 sign up for silvercloud – space from stress source: nhs 24 last updated: 06 july 2026",Personality disorder,
"6 to 8 weeks. psoralen plus ultraviolet a (puva) treatment means you’ll be given a tablet containing psoralens. psoralen can also be applied directly to the skin. this makes your skin more sensitive to light. your skin will then exposed to a wavelength of light called ultraviolet a (uva). this light penetrates your skin more deeply than ultraviolet b light. this treatment may be used if you have severe psoriasis that hasn’t responded to other treatment. if your psoriasis is severe or other treatments haven’t worked, you may be prescribed systemic treatments by a specialist. systemic treatments are treatments that work through the whole body. they can have serious side effects. talk to your doctor about your treatment options and any risks associated with them. there are 2 main types of systemic treatment, called non-biological and biological. non-biological treatments are given as tablets or capsules.",Psoriasis,
"swollen lymph glands are usually a sign of infection. swollen lymph glands that are caused by an infection usually get better by themselves in 1 to 2 weeks. sometimes swollen lymph glands can have a more serious cause and may need to be seen by a doctor. you have swollen glands and you: you have swollen glands and: the lymph glands (or lymph nodes) are small lumps of tissue that contain white blood cells. these help to fight bacteria, viruses and anything else that causes infection. they’re an important part of the immune system and are found throughout the body. the lymph glands can swell to more than a few centimetres in response to infection or disease. swollen glands feel like tender, painful lumps.",Swollen glands,
"ne plays a vital role in regulating the movement of the body. a reduction in dopamine is responsible for many of the symptoms of parkinson’s disease. exactly what causes the loss of nerve cells is unclear. most experts think that a combination of genetic and environmental factors is responsible. read more about the causes of parkinson’s disease it’s thought around 1 in 500 people are affected by parkinson’s disease, which means there are an estimated 127,000 people in the uk with the condition. most people with parkinson’s start to develop symptoms when they’re over 50, although around 1 in 20 people with the condition first experience symptoms when they’re under 40. men are slightly more likely to get parkinson’s disease than women. although there’s currently no cure for parkinson’s disease, treatments are available to help reduce the main symptoms and maintain quality of life for as long as possible.",Parkinson’s disease,
"occur under the age of 10. it becomes more common through the teenage years. the treatment for fnd in children and young people is similar to adults. it’s especially important for families and schools to learn about the condition, so they can respond in the most helpful way. if you’ve been diagnosed with fnd there are sources of information, charities and support groups that can help you. the neurosymptoms fnd guide has more detailed information. there’s also an app available with further details about the condition. my fnd is an app that allows you to learn about your symptoms. it helps you track them, and offers advice for managing them. fnd action is a charity that provides information on fnd and support for those with a diagnosis. right decision service: dissociative seizures is a resource for people with functional seizures. source: scottish government last updated: 12 march 2026",Functional neurological disorder,
"of your jaw close to the infected tooth may also be sore and tender to touch. it’s also possible for periodontal disease to give rise to a dull pain. periodontal disease is a bacterial infection that affects the soft and hard structures that support the teeth. the longer you leave it, the worse it will get. if your toothache isn’t treated, the pulp inside your tooth can become infected. this may lead to a dental abscess, with severe and continuous throbbing pain. painkillers, such as paracetamol and ibuprofen, may reduce the pain and discomfort while you’re waiting for an appointment. children under 16 years of age shouldn’t be given aspirin. toothache occurs when the innermost layer of the tooth (dental pulp) becomes inflamed. the pulp is made up of sensitive nerves and blood vessels.",Toothache,
"stenosis symptoms affect the arms and may include: you may also experience headaches. patients with spinal stenosis can also have back or neck pain. however in the absence of leg or arm symptoms, low back or neck pain are usually not thought to be caused by stenosis. spinal stenosis is a long term condition, and symptoms can vary. many patients find that managing their symptoms can help improve their quality of life. any progression of symptoms is usually slow. this allows time for symptoms to be monitored and for treatments to be considered. spinal stenosis can be diagnosed following an assessment from a healthcare professional. they will ask questions about your symptoms and carry out a physical examination. in some cases, further examinations may be advised to rule out other serious health conditions. for people with severe and worsening symptoms, scans may be considered to help decide if spinal surgery may be helpful.",Spinal stenosis,
". only do activities as you feel able. you should contact your insurance provider before driving as your injury may affect your insurance. once you’re out of your splint, the general advice is that you must be able to safely perform an emergency stop or manoeuvre. you should always be in full control of your vehicle. your return to work will depend on the type of work you do and your employer. it may be possible to discuss a phased return to work or changed duties. you don’t need to see a healthcare professional to return to work. keep doing any activities you’re able to, as your pain allows. over time, gradually increase what you do. reduced flexibility and strength may make things more difficult to start with. this will get better as you slowly build up to all your usual activities. frustration or low mood after your injury is normal. as you get back to normal life this will get better. if this is a major issue discuss it with your gp.",Metacarpal fracture of the hand,
"it’s also common to forget about recent conversations, events or the names of places. as the condition develops, memory problems become more severe. other changes caused by alzheimer’s disease that could cause you concern include: alzheimer’s disease is thought to be caused by the build up of amyloid and tau. these are substances found inside the brain. amyloid and tau build up and form tiny structures called plaques and tangles. these make it harder for the brain to work properly. over time, alzheimer’s disease causes parts of the brain to get smaller. it also reduces chemicals in the brain that are used to send messages around the brain. eventually, the brain struggles to cope with the damage. this can lead to problems with memory and thinking. over time, damage also spreads to different areas of the brain. the first areas affected are the ones that are responsible for memories.",Alzheimer’s disease,
". if your child’s anxiety problem hasn’t got better with psychological treatments, your doctor may talk to you about trying medication. medication is usually only prescribed by doctors who specialise in children and young people’s mental health. medication can be helpful for certain people but can take time to take effect. some children are more nervous and anxious and less able to cope with stress than others. having a close family member with anxiety might make your child more likely to have it too. parents of anxious children may recognise the signs and remember feeling and behaving the same when they were younger. some children can also develop anxiety after a series of difficult life events. they may be able to cope with one of these events. several difficult events together, or a traumatic single event, may be too much for them to cope with.",Anxiety disorders in children and young people,
"orse when you have hay fever. there’s currently no cure for hay fever but most people can relieve symptoms with treatment. treatment options for hay fever include: many hay fever medications are available over-the-counter. your hay fever symptoms: there are some steps you can take to prevent hay fever symptoms. you may find it helpful to check the pollen forecast in your area. this can help you plan your day-to-day activities, and when to take your hay fever treatments. the met office have advice on the latest pollen forecasts. hay fever is caused by an allergic reaction to pollen. pollen is a fine powder released by plants as part of their reproductive cycle. it contains proteins that can cause the nose, eyes, throat and sinuses to become swollen, irritated and inflamed.",Hay fever,
"ffect one another. cbt aims to improve your eating behaviours. it tries to help you see how the ways you think, affect how you feel, and what you do. one alternative to cbt is interpersonal psychotherapy (ipt). ipt explores the way your relationships with people close to you impact the way you feel and how to improve these relationships. other psychological therapies include: the psychological therapies matrix for bulimia nervosa explains what therapies are most likely to help you based on your needs and the current evidence. learn more about talking therapies family based treatment (fbt) involves the whole family in solving their child or young person’s eating disorder. during fbt parents and carers are an essential part of the solution and members of the treatment team. cbt may also be used. it can be tailored for young people experiencing bulimia nervosa. if these treatments are not suitable then psychodynamic psychotherapy might be offered.",Bulimia nervosa,
"concussion is a type of brain injury. it sometimes happens after a head injury, or a forceful knock to the body. it can happen even if you’ve stayed conscious (awake) after the injury. only 10% of concussions involve someone being knocked out. the most common causes of concussion are falls and violence. they also often happen when someone is playing sport. if you think someone may have a concussion, they should stop doing any sport immediately. remember, if in doubt, sit them out. read more about minor or severe head injuries it can take up to 48 hours after an injury for symptoms of concussion to appear. if someone has a concussion, you may see changes to the way they behave and act. they may: they may also complain about physical symptoms, including: some symptoms of concussion indicate that there may be a severe head injury.",Concussion,
"more about treating diverticular disease and diverticulitis. diverticular disease is one of the most common digestive conditions. both sexes are equally affected by diverticular disease and diverticulitis, although the condition is more likely to appear at a younger age (under 50) in men than in women. overall, symptoms of diverticulitis are most likely to occur in people over 70 years old. diverticular disease is often described as a ‘western disease’ because the rates are high in european and north american countries, and low in african and asian countries. a combination of genetics and diet is thought to be the reason for this and the fact that people in western countries tend to eat less fibre. people aged 50 to 70 who eat a high-fibre diet (25g a day) have a 40% lower chance of admission to hospital with complications of diverticular disease – compared to others in their age range with the lowest amount of dietary fibre. of admission to hospital with complications of diverticular disease – compared to others in their age range with the lowest amount of dietary fibre. source: nhs 24 last updated: 30 april 2026",Diverticular disease and diverticulitis,
"th and gums can be detected and treated early. your dentist or hygiene therapist can examine the health of your teeth and gums to check for problems. they’ll give you advice about how to be more effective at home with your cleaning and how to reduce your risk of developing gum problems, like stopping smoking. further information about dental check-ups if you have an increased risk of developing gum problems – for example, if you smoke or have diabetes – you may be advised to visit your dentist more often so your teeth and gums can be closely monitored. if you have been diagnosed with gingivitis or periodontitis, you can find more information about managing the conditions from the scottish dental clinical effectiveness programme. if you have untreated gum disease that develops into periodontitis, it can lead to further complications, including: source: scottish government last updated: 30 march 2026",Gum disease,
"velops. you may notice symptoms immediately, or they may develop gradually if your anaemia is caused by a long-term problem, such as a stomach ulcer. the most common symptoms include: less common symptoms include: see your gp if you experience symptoms of iron deficiency anaemia. they should be able to diagnose the condition using a simple blood test. read more about diagnosing iron deficiency anaemia there are many things that can lead to a lack of iron in the body. in men and post-menopausal women, the most common cause is bleeding in the stomach and intestines. this can be caused by a stomach ulcer, stomach cancer, bowel cancer, or by taking non-steroidal anti-inflammatory drugs (nsaids). in women of reproductive age, heavy periods and pregnancy are the most common causes of iron deficiency anaemia as your body needs extra iron for your baby during pregnancy.",Iron deficiency anaemia,
"se tablets, a carton of fruit juice (one that contains sugar), or some sweets in case you feel symptoms coming on or your blood glucose level is low. make sure your friends and family know about your diabetes and the risk of hypoglycaemia. it may also help to carry some form of identification that lets people know about your condition in an emergency. when hypoglycaemia occurs as the result of an underlying condition other than diabetes, the condition will need to be treated to prevent a further hypo. read more about preventing hypoglycaemia source: nhs 24 last updated: 18 march 2026",Hypoglycaemia (low blood sugar),
"in treating lung conditions for further tests such as: the damage caused to the lungs by bronchiectasis is permanent. but treatment can help your symptoms and stop the damage getting worse. the main treatments include: you should: surgery for bronchiectasis is only in rare cases. it’s only used if other treatments haven’t worked, the damage to the lung is localised to one lobe, and you’re otherwise healthy. there are a range of exercises which can help to remove mucus from your lungs. these are known as airway clearance techniques. they can often help coughing and breathlessness. you can be referred to a physiotherapist who can teach you these techniques. active cycle of breathing techniques (acbt) involves you repeating a cycle made up of different steps. for example, a period of normal breathing, followed by deep breaths to loosen the mucus and force it up. then you cough the mucus out. the cycle is then repeated for 20 to 30 minutes.",Bronchiectasis,
"there is no cure for asthma but there are treatments that can help: most people will take medications once or twice daily, usually using an inhaler. your nurse, doctor or pharmacist will teach you how to properly use your inhaler. watch asthma + lung uk’s videos on how to use your inhaler finding and avoiding your possible triggers is also important. some treatments may have side effects. if you’re diagnosed with asthma, your healthcare professional will agree a personal asthma action plan with you. this could include information like: your personal asthma action plan should be reviewed with your nurse, doctor or pharmacist at least once a year. if your symptoms are severe, it can be reviewed more regularly. anti-inflammatory reliever (air) therapy involves using a combination inhaler containing 2 types of medicine. these are: you should only use your air inhaler if you experience asthma symptoms.",Asthma,
"nd: these could be signs of keratitis, which can be serious if it’s not treated urgently. there’s no specific test for rosacea. to help diagnose rosacea, your gp will: your gp may arrange other tests to find out if there’s any other reason for your symptoms. there’s currently no cure for rosacea, but treatment can help control the symptoms. it may get worse if it isn’t treated. to help treat rosacea, your gp may suggest: a gp may refer you to a skin specialist, known as a dermatologist, if treatments don’t work. the exact cause of rosacea is unknown, but some things can make symptoms worse. this includes: there are some things that may help rosacea symptoms. it may also be helpful to avoid things that you know trigger your symptoms, like alcohol, hot drinks or spicy food. if you have rosacea, you may become aware of others looking at you.",Rosacea,
"ects areas of the body like the bones, kidneys, blood or nerves. symptom control is an important part of treatment for anyone diagnosed with myeloma. macmillan cancer support have more information about: treatment for myeloma is usually very effective and most people respond well to treatment. after a time, myeloma usually comes back and needs further treatment. this is called relapsed myeloma. macmillan cancer support have more information about treatment for relapsed myeloma. you usually have regular follow-up appointments at the hospital during your treatment and when you are in remission. or you may have follow-up appointments with your gp. this is sometimes called a shared care agreement (follow-up care). if you have smouldering myeloma (myeloma without symptoms) you’ll also have follow‐up checks every few months.",Myeloma,
"cardiovascular condition, information and support is available. this can help you understand and manage your condition, and live life to the fullest. get information and support on cardiovascular conditions, including advice on financial support and mental health and wellbeing support your health and wellbeing to be the best it can be if you’re on a waiting list let us know what you liked, what you didn’t or what you think is missing by emailing nhs.inform@nhs24.scot.nhs.uk please don’t include personal information like your name, location or any personal health conditions.",Cardiovascular disease,
"itchy skin can be unpleasant but it’s not usually a sign of anything serious. you can usually treat it yourself and it’ll get better in a few weeks. itchy skin can affect any area of the body. it can either be: sometimes you may have a rash or spot as well as itchy skin. a pharmacist can help if you have itchy skin. tell the pharmacist where your skin is itchy and if you have any other symptoms. the pharmacist will tell you about the best products for your itchy skin. they might also be able to tell you if you need to see a gp. you have itchy skin that: your gp will ask you about your symptoms. for example, if anything makes your itch worse, or if it comes and goes. they’ll also examine your skin to check for any visible symptoms. they may prescribe lotions, creams and medications to help reduce itchiness. this will depend on what’s causing your symptoms.",Itchy skin,
. polymyalgia rheumatica is also age-related. most people who are diagnosed with the condition are over 70. it’s very rare in people younger than 50. polymyalgia rheumatic is more common in women than men. the main treatment for polymyalgia rheumatica is a corticosteroid medication called prednisolone. this comes as a pill that’s prescribed by your gp. prednisolone blocks certain chemicals that cause inflammation in the body. you’ll be prescribed a higher dose of prednisolone at first. this will be slowly reduced over time. this is likely to be over a year. sometimes you may be prescribed other medicines with corticosteroids. this can help to prevent relapses or it may allow your dose of prednisolone to be reduced. additional medicines are usually added by rheumatology doctors. they include a weekly dose of methotrexate or a daily dose of leflunomide. painkillers may also be recommended.,Polymyalgia rheumatica,
"hese will be sent to a lab for analysis. however, a swab test can’t be relied on to diagnose pid, as some women with pid have a negative swab result. you may have an ultrasound scan. scans can identify severe pid but will not show up mild disease. it’s possible to have a normal scan and still have pid. if it’s diagnosed at an early stage, oral antibiotics will treat pid. you’ll probably be given these to take for at least 2 weeks. in more severe cases, you may be admitted to hospital for observation and treatment with antibiotic injections. always see your doctor or nurse if you think you might have pid, as the sooner you are treated, the better. if you’re given treatment, always make sure that you take all of your antibiotics and finish the entire course. your partner(s) should also be treated and you should avoid sex until your treatment is completed.",Pelvic inflammatory disease,
"uddenly without warning. in her video, chiamaka explains some things that help her deal with sickle cell anaemia. this includes: chiamaka also gets support from the hope project scotland. they help patients and families to deal with sickle cell disease. find out more about sickle cell disease source: nhs greater glasgow and clyde last updated: 31 july 2026",Living with sickle cell anaemia,
"practice is closed, phone 111. if needed, your gp will examine your throat and ask you some questions about your symptoms. they may take a swab of your throat to check if its caused by a viral or bacterial infection. it’ll usually take a few days to get your results. if you develop severe tonsillitis as a teenager or adult, your gp may recommend a blood test for glandular fever. there’s no specific treatment for tonsillitis. it usually gets better on its own within a week. always read the leaflet that comes with your medicine before taking it. follow the recommended dosage instructions. if you’re not sure which treatments are suitable for you or your child, speak to a pharmacist for advice. if test results show that your tonsillitis is caused by a bacterial infection, a short course of oral antibiotics may be prescribed.",Tonsillitis,
"ve it. you can do this through group therapy. group therapy can help you understand ptsd. it also teaches you different ways to manage your symptoms. it’s usually recommended that children and young people with ptsd have trauma-focused cbt. this will usually be in 8 to 12 sessions. these are adapted to suit the child’s age, circumstances and development. if it’s appropriate, the treatment will involve the child’s family. medication isn’t usually recommended for children and young people with ptsd. there are many organisations that provide counselling and support for ptsd. this includes: source: nhs 24 last updated: 06 july 2026",Post-traumatic stress disorder (PTSD),
"device itself isn’t always available on the nhs. you may have to pay for a device, but only if it is advised for use by your healthcare professional. the cause of bronchiectasis is not fully understood. widened airways and increased risk of infection can be linked to: in most cases of bronchiectasis, no clear cause can be found. this is known as idiopathic bronchiectasis. source: scottish government last updated: 27 august 2024",Bronchiectasis,
after the part of the bile duct where the cancer started. intrahepatic bile ducts are the bile ducts in the liver. intrahepatic bile duct cancers make up 1 to 2 in every 10 bile duct cancers (10 to 20%). extrahepatic bile ducts are the bile ducts outside the liver. there are 2 types of extrahepatic bile duct cancer: source: macmillan cancer support last updated: 17 april 2026,Bile duct cancer (cholangiocarcinoma),
"te. your gp may decide to refer you to a neurologist (a specialist in conditions affecting the brain and nervous system). they’ll do further assessments and offer treatment if: read about the prevention and treatment of migraine migraine is linked to a small increased risk of other conditions like: the risk of having an ischaemic stroke is increased by the use of the combined contraceptive pill. medical professionals generally advise women who experience migraine with aura not to use the combined contraceptive pill. women who have migraine without aura can usually take the combined contraceptive pill safely, unless they have other stroke risk factors like high blood pressure or a family history of cardiovascular disease. talk to your gp about alternative forms of contraception if you experience aura symptoms and are taking the combined contraceptive pill.",Migraine,
"also help with fatigue. this could mean adjusting your work station or ensuring you take regular breaks. you should discuss this with your employer. ankylosing spondylitis can affect many parts of the body. it can cause complications in your day-to-day life and may lead to other health conditions. some complications associated with ankylosing spondylitis include: if you have ankylosing spondylitis, you may also have a higher risk of developing cardiovascular disease (cvd). source: scottish society for rheumatology last updated: 24 july 2026",Ankylosing spondylitis,
"there are many treatments that can help with itching or discomfort. speak to a pharmacist about treatments for piles. they can recommend treatments like: many pharmacies have private rooms if you don’t want to be overheard. there are some things you can do to try to relieve your symptoms. if there’s no improvement to piles after home treatments, your gp may refer you for hospital treatment. they can confirm whether you have piles and recommend appropriate treatment. common hospital treatments include: you’ll be awake during these treatments, but the area may be numbed. you should be able to go home on the same day. if these treatments don’t work, you may need surgery to remove them. surgical treatments include: you’ll be asleep during these treatments. you may be able to go home on the same day as the procedure.",Piles (haemorrhoids),
"nown as acquired heart block. acquired heart block can be caused by: other people are born with heart block. this is known as congenital heart block. babies are more likely to have congenital heart block if they’re born with a heart defect or their mother has an autoimmune condition like lupus. if you or someone you know has been diagnosed with heart block, support is available. the british heart foundation’s heart helpline can help with any questions or worries you have about heart or circulatory issues. phone the helpline on 0808 802 1234 (monday to friday, 9am to 5pm) for advice. information and support for people living with a heart condition is also available through: get more information and advice on cardiovascular conditions source: scottish government last updated: 15 july 2026",Heart block,
"le to die, but the condition can place great strain on the body, and can make some people more vulnerable to serious and life-threatening infections. however, with advances in treatment, most people with parkinson’s disease now have a normal or near-normal life expectancy. read more about living with parkinson’s disease it may also be useful to read your guide to care and support – written for people with care and support needs, as well as their carers and relatives. source: nhs 24 last updated: 03 august 2026",Parkinson’s disease,
"ome days you may feel better than others. even if you already have a healthy lifestyle, you may choose to make some positive changes after treatment. macmillan cancer support has more information on leading a healthy lifestyle after treatment. making small changes, like eating well and keeping active, can improve your health and wellbeing, and help your body recover. source: macmillan cancer support last updated: 05 february 2026",Gallbladder cancer,
"bowel incontinence is when you poo by accident. it’s also sometimes known as faecal incontinence. some people experience bowel incontinence every day. for others it only happens from time to time. bowel incontinence can be upsetting and hard to cope with but if this happens to you, you’re not alone. although it’s common, it shouldn’t be thought of as normal and it’s important that you get the help you need. there are things you can do to improve your incontinence symptoms, like: read more on lifestyle advice for managing constipation or further information about managing diarrhoea. there are 2 types of bowel incontinence: you may experience both types of bowel incontinence. bowel incontinence is more common in women than men. certain things can increase the chances of bowel incontinence developing.",Bowel incontinence,
"o your lungs that has already happened cannot be reversed. but you can slow copd down and feel better with treatment, especially by stopping smoking. nhs scotland recommends you get the coronavirus (covid-19) vaccine, flu vaccine and pneumococcal vaccine when offered them. treatments for copd usually involve relieving the symptoms with medication. for example, by using an inhaler to make breathing easier. pulmonary rehabilitation may also help increase the amount of exercise you can do. surgery is only an option for a small number of people with copd and lung transplant for people under 60. stopping smoking is the best way for people with copd to help themselves feel better. stopping smoking at an early stage of the disease makes a huge difference. any damage already done to the airways cannot be reversed. but giving up smoking can slow the rate at which the condition worsens.",Chronic obstructive pulmonary disease (COPD),
"by a range of healthcare professionals. once your symptoms are under control, you are likely to be offered treatment to help keep them under control. if your crohn’s stays under control for a long time, you may choose to stop treatment. you may need to start again if your symptoms come back. the first treatment offered is usually steroids, such as prednisolone or budesonide (corticosteroids) to reduce inflammation quickly. steroids are often effective in reducing your symptoms. but they can have significant side effects. so they’re not suitable for long-term use and your dose will slowly be reduced when your symptoms start to improve. medicines to suppress your immune system (immunosuppressants) may be given alongside steroids if your symptoms flare up twice or more during 12 months, or return when your steroid dose is reduced. common types include azathioprine, mercaptopurine and methotrexate.",Crohn’s disease,
"cells. it’s not often used to treat pancreatic cancer. it may be given: research is going on to find more effective treatments for pancreatic cancer. you may have some treatments as part of a clinical trial. or you may be invited to take part in a trial of a new drug or treatment. macmillan cancer support has more information on cancer treatment options and getting organised before cancer treatment. for many people with pancreatic cancer, it won’t be possible to cure the cancer. chemotherapy and radiotherapy can sometimes help shrink the cancer for a time. this can help to control symptoms. you can also have other treatments that’ll help you feel better and have the best quality of life possible. this is called supportive care. making sure you have the best quality of life possible is an important part of your treatment and care. finding out you have advanced cancer can be difficult to cope with.",Pancreatic cancer,
"r both parents. it normally runs in families. md is caused by mutations (changes) in the genes responsible for healthy muscle structure and function. this leads to muscle weakness and can eventually result in disability. a gene mutation is like a spelling mistake within the gene code. this can lead to a change in the protein expression in the muscle causing structural changes and damage in the muscle. you have 2 copies of every gene (apart from the sex chromosomes). you get a copy from each parent. if one or both of your parents has the mutated gene that causes md, it can be passed on to you. depending on the type of md the condition could be a: in rare cases, the genetic mutation can develop as a new event in the family (spontaneous mutation). there are different methods used to diagnose md like: there are other tests available to help determine which type of md you have.",Muscular dystrophy,
"a dental abscess is a collection of pus that can form inside the teeth, in the gums, or in the bone that holds the teeth in place. it’s caused by a bacterial infection. an abscess at the end of a tooth is called a periapical abscess. an abscess in the gum is called a periodontal abscess. dental abscesses are often painful, but aren’t always. in either case, they should be looked at by a dentist. you should get help as soon as possible, because abscesses don’t go away on their own. they can sometimes spread to other parts of the face and neck and make you ill. symptoms of an abscess in your tooth or gum may include: if the infection spreads, you may also develop a high temperature (fever) and feel generally unwell. in severe cases, you may find it hard to fully open your mouth and have difficulty swallowing or breathing. while you’re waiting to see a dentist, painkillers can help control your pain.",Dental abscess,
"to get medical help] if you’re experiencing abdominal pain that’s gradually getting worse, contact your gp or local out-of-hours service immediately. if these options aren’t available, phone nhs 24’s 111 service for advice. you should phone 999 for an ambulance if you have sudden pain that continues to get worse and spreads across your abdomen. these are signs your appendix may have burst, which can lead to potentially life-threatening complications. read more about: in most cases of appendicitis, the appendix needs to be surgically removed as soon as possible. removal of the appendix, known as an appendectomy or appendicectomy, is one of the most common operations in the uk and its success rate is excellent. the operation is most commonly performed as keyhole surgery (laparoscopy), which involves making several small cuts in your abdomen, through which special surgical instruments are inserted.",Appendicitis,
"varicose eczema is a long-term skin condition that affects the lower legs and is common in people with varicose veins. it is also known as venous eczema, gravitational eczema and stasis eczema. like all types of eczema, the affected skin becomes: there may be periods when these symptoms improve and periods when they become more severe. your legs may become swollen, especially towards the end of the day or after long periods of standing. varicose veins (swollen and enlarged veins) are often visible on the legs. some people also have other symptoms, such as: left untreated, leg ulcers can develop. these are long-lasting wounds that form where the skin has become damaged. see your gp if you have symptoms of varicose eczema. they will often be able to make a diagnosis simply by looking at the skin. varicose eczema is caused by increased pressure in the leg veins.",Varicose eczema,
"meningitis is an infection of the protective membranes that surround the brain and spinal cord (meninges). meningitis is usually caused by a viral or bacterial infection. viral meningitis is the most common and least serious type. bacterial meningitis is rare but can be very serious if it’s not treated quickly. bacterial meningitis can cause life-threatening blood poisoning (septicaemia) and result in permanent damage to the brain or nerves. symptoms of meningitis develop suddenly and can include: these symptoms can appear in any order and some may not appear. the meningitis rash usually starts as small, red pinpricks before spreading quickly and turning into red or purple blotches. the rash can be harder to see on brown or black skin. trust your instincts and don’t wait until a rash develops.",Meningitis,
"aused by polio] although polio often passes quickly without causing any other problems, it can sometimes lead to persistent or lifelong difficulties. about 1 in every 200 people with the infection will have some degree of permanent paralysis, and others may be left with problems that require long-term treatment and support. these can include: there’s also a chance that someone who’s had polio in the past will develop similar symptoms again, or worsening of their existing symptoms, many decades later. this is known as post-polio syndrome. you can become infected with the polio virus if you come into contact with the poo (faeces) of someone with the infection, or with the droplets launched into the air when they cough or sneeze. you can also get the infection from food or water that’s been contaminated with infected poo or droplets. if the virus gets into your mouth, it travels to your throat and bowels, where it starts to multiply.",Polio,
"this advice, you should see gradual improvements over time. talk to a healthcare professional if: find out about access to msk services in your area. when dealing with any health problem also look after your mental wellbeing as this can impact your recovery. source: nhs 24 msk clinical advisory group last updated: 28 july 2026",Pain in the ball of the foot,
"progressive supranuclear palsy (psp) is a neurological condition. it’s caused by the loss of nerve cells in parts of the brain. this can lead to problems with balance, movement, vision, speech and swallowing. psp usually develops gradually and can sometimes be mistaken for other conditions. the symptoms tend to get worse over many years but there are many ways to try and manage your symptoms. the first symptoms of psp you might experience include: the symptoms of psp, like balance and mobility problems, are likely to progressively get worse. the new symptoms that might develop at this stage include: as the symptoms of psp get worse, your speech might become slower and more slurred. mobility problems might get worse and you might need a wheelchair to help you get around.",Progressive supranuclear palsy (PSP),
"e caused by something else. a prolonged period of bed rest as a result of another illness or serious injury can trigger post-polio syndrome symptoms. there are some tests that can be done to rule out conditions with similar symptoms. you might be offered blood tests and scans of your spine. other tests that might be offered include: as there’s no cure for post-polio syndrome, treatment will help you manage your symptoms and quality of life. it’s likely you’ll have a multidisciplinary team of healthcare professionals working together to care for you including: they’ll discuss the most suitable plan for your care which might include a mixture of the following: source: scottish government last updated: 21 august 2026",Post-polio syndrome,
together are called differentiated thyroid cancer (dtc). papillary is the most common type of thyroid cancer. it’s usually slow-growing. papillary thyroid cancer can affect anyone. it’s more common in younger people and women. macmillan cancer support have more information about papillary thyroid cancer. follicular is a less common type of thyroid cancer. it’s mostly found in middle-aged people. macmillan cancer support have more information about follicular thyroid cancer. medullary thyroid cancer (mtc) is a rare type of thyroid cancer. it can sometimes run in families. macmillan cancer support have more information about medullary thyroid cancer. anaplastic thyroid cancer is a very rare type of thyroid cancer that’s fast-growing. macmillan cancer support have more information about anaplastic thyroid cancer. thyroid lymphomas start in the lymph tissue of the thyroid. the lymph tissue is part of the body’s lymphatic system.,Thyroid cancer,
"an ambulance. this guide is specific to nhs scotland services. it'll tell you what to do next based on your symptoms. it won't give you a diagnosis. information on breathing problems in children if your gp practice is closed, phone 111. if your gp is unsure what’s causing your cough, they may refer you to a specialist. they may also request some tests, such as a chest x-ray, allergy tests, breathing tests, and an analysis of a sample of your phlegm to check for infection. treatment isn’t always necessary for short-term coughs because it’s likely to be a viral infection that will get better on its own within a few weeks. you can speak to a pharmacist for advice about coughs and cough treatments. there’s no evidence that cough medicines work.",Cough,
"ly cattle, sheep and goats, can lead to stec infection. the stec bacteria can be found in animal faeces (poo) and may also be found in animal saliva. people can become infected through close contact with: during farm visits, stec infection can also be spread through: contact with an infected person can cause stec infection. this can happen through poor hand hygiene: strict hygiene measures are essential to stop others getting infected. if you wear gloves while cleaning, disposable gloves should be single-use only and disposed of appropriately after use. reusable gloves should be thoroughly cleaned after each use and allowed to dry. even if gloves have been worn during cleaning, always wash your hands thoroughly after you have removed or cleaned your gloves.",Shiga toxin-producing E. coli (STEC),
"products (like tampons) at this time. this reduces the risk of infection. if expectant management is not effective, you’ll be offered other options. in some cases, an ectopic pregnancy may be treated by medication. you’ll receive an injection of a drug called methotrexate. this drug stops the ectopic pregnancy from growing. it’s most likely that you’ll only need 1 injection of methotrexate. however, 15% of people who have methotrexate will need a second injection. there’s a chance you’ll still need surgical treatment if this doesn’t work. this is more likely if your pregnancy is further along, or if your pregnancy hormone levels are high. after the injection, you may need to return to the clinic or ward for blood tests. this is to make sure that the pregnancy has ended. if you have any bleeding after the pregnancy has ended, you should use external period products (like pads) rather than internal period products (like tampons) at this time.",Ectopic pregnancy,
